"Country","year","r","g","rg_certo","top1_certo"
"Argentina ","1980","","0.7","","0.2675"
"Argentina ","1981","","-5.7","","0.2675"
"Argentina ","1982","","-3.1","","0.2676"
"Argentina ","1983","","3.7","","0.2676"
"Argentina ","1984","","2","","0.2677"
"Argentina ","1985","","-7","","0.2678"
"Argentina ","1986","","7.1","","0.2678"
"Argentina ","1987","","2.5","","0.2676"
"Argentina ","1988","","-2","","0.2677"
"Argentina ","1989","","-7","","0.2678"
"Argentina ","1990","","-1.3","","0.2676"
"Argentina ","1991","","10.5","","0.2677"
"Argentina ","1992","","10.3","","0.2677"
"Argentina ","1993","","6.3","","0.2678"
"Argentina ","1994","","5.8","","0.2677"
"Argentina ","1995","","-2.8","","0.2678"
"Argentina ","1996","","5.5","","0.2676"
"Argentina ","1997","","8.1","","0.2676"
"Argentina ","1998","","3.9","","0.2677"
"Argentina ","1999","","-3.4","","0.2677"
"Argentina ","2000","","-0.8","","0.2676"
"Argentina ","2001","","-4.4","","0.2785"
"Argentina ","2002","","-10.9","","0.2854"
"Argentina ","2003","","9","","0.2621"
"Argentina ","2004","","8.9","","0.252"
"Argentina ","2005","","8.9","","0.2457"
"Argentina ","2006","","8","","0.2428"
"Argentina ","2007","","9","","0.2486"
"Argentina ","2008","","4.1","","0.2489"
"Argentina ","2009","","-5.9","","0.2402"
"Argentina ","2010","-8.566028720066","10.1","-18.666028720066","0.2433"
"Argentina ","2011","-7.7734052360789","6","-13.773405236079","0.2397"
"Argentina ","2012","-6.7481955571301","-1","-5.7481955571301","0.235"
"Argentina ","2013","-5.4858391796897","2.4","-7.8858391796897","0.2363"
"Argentina ","2014","-11.60069876784","-2.5","-9.10069876784","0.2364"
"Argentina ","2015","-1.3147087872284","2.7","-4.0147087872284","0.2411"
"Argentina ","2016","-7.0060398430412","-2.1","-4.9060398430412","0.2478"
"Argentina ","2017","0.45589282968512","2.8","-2.3441071703149","0.2413"
"Argentina ","2018","4.564409101082","-2.6","7.164409101082","0.2424"
