Downloaded from wid.world on 09-10-2025 at 17:45:23
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1980;Unnamed: 4
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1981;
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1982;
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1983;
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1984;
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1985;
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1986;
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1987;
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1988;
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1989;
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1990;
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1991;
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1992;
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1993;
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1994;
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1995;0.228
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1996;0.228
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1997;0.2278
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1998;0.2281
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1999;0.2281
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2000;0.2285
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2001;0.2283
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2002;0.2291
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2003;0.229
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2004;0.2298
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2005;0.2303
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2006;0.2305
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2007;0.2309
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2008;0.2313
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2009;0.233
Australia ;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2010;0.2322
Canada ;"shweal_p99p100_z_CA
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1980;
Canada ;"shweal_p99p100_z_CA
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1981;
Canada ;"shweal_p99p100_z_CA
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1982;
Canada ;"shweal_p99p100_z_CA
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1983;
Canada ;"shweal_p99p100_z_CA
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1984;
Canada ;"shweal_p99p100_z_CA
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1985;
Canada ;"shweal_p99p100_z_CA
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1986;
Canada ;"shweal_p99p100_z_CA
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1987;
Canada ;"shweal_p99p100_z_CA
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1988;
Canada ;"shweal_p99p100_z_CA
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1989;
Canada ;"shweal_p99p100_z_CA
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1990;
Canada ;"shweal_p99p100_z_CA
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1991;
Canada ;"shweal_p99p100_z_CA
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1992;
Canada ;"shweal_p99p100_z_CA
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1993;
Canada ;"shweal_p99p100_z_CA
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1994;
Canada ;"shweal_p99p100_z_CA
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1995;0.2331
Canada ;"shweal_p99p100_z_CA
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1996;0.2326
Canada ;"shweal_p99p100_z_CA
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1997;0.2336
