"country","year","r","g","top1_certo","rg_certo","rg1",""
"Australia","1980","-0.03399761646009","2.9","","-2.9339976164601","-2.0256405",""
"Australia","1981","2.1077818924958","4.1","21.96","-1.9922181075042","-0.988625554",""
"Australia","1982","1.4165648654237","0.1","21.96","1.3165648654237","2.499629375",""
"Australia","1983","2.0507975753705","-0.5","21.96","2.5507975753705","4.002094899",""
"Australia","1984","3.3718656373958","6.3","21.96","-2.9281343626042","-1.323340223",""
"Australia","1985","7.3900535221929","5.5","21.97","1.8900535221929","4.599810848",""
"Australia","1986","7.9330703487972","2.4","21.98","5.5330703487972","6.82692956",""
"Australia","1987","7.5226237868785","4.9","22.01","2.6226237868785","0.746988649",""
"Australia","1988","6.44657903173","4.3","22.08","2.14657903173","2.078153063",""
"Australia","1989","6.6156713341291","4.6","22.01","2.0156713341291","5.482453302",""
"Australia","1990","9.6702167847978","1.5","21.99","8.1702167847978","5.564305498",""
"Australia","1991","10.091703913098","-1","22.08","11.091703913098","7.094509258",""
"Australia","1992","8.9716150867127","2.6","22.07","6.3716150867127","2.086136621",""
"Australia","1993","8.4757720973187","3.9","22.1","4.5757720973187","-0.287576606",""
"Australia","1994","7.9873226320194","4.9","22.13","3.0873226320194","2.294654854",""
"Australia","1995","8.0271049120108","3","22.18","5.0271049120108","1.390800781",""
"Australia","1996","6.8324660701263","4","22.18","2.8324660701263","-0.037115768",""
"Australia","1997","5.8198019554272","4.7","22.13","1.1198019554272","-0.445490877",""
"Australia","1998","5.4853969618227","4.7","22.18","0.7853969618227","-0.681805657",""
"Australia","1999","6.062481715152","4.4","22.19","1.662481715152","0.251498145",""
"Australia","2000","5.0374089067453","3.1","22.25","1.9374089067453","-1.277032188",""
"Australia","2001","2.1130750656611","2.6","22.23","-0.48692493433891","-1.829568155",""
"Australia","2002","3.4248671904713","4.2","22.35","-0.77513280952869","-2.269975177",""
"Australia","2003","3.5218096942043","3","22.35","0.52180969420429","-0.682867188",""
"Australia","2004","3.6981648782822","4.1","22.44","-0.40183512171775","-2.020096002",""
"Australia","2005","3.3063681891548","3","22.48","0.30636818915485","-2.011901539",""
"Australia","2006","2.3756382534426","2.6","22.5","-0.22436174655738","-1.369991639",""
"Australia","2007","3.0573409969477","4.3","22.55","-1.2426590030523","-1.662705449",""
"Australia","2008","4.148952312473","2.6","22.67","1.548952312473","-4.911473641",""
"Australia","2009","1.0211173277058","2","22.73","-0.9788826722942","2.324298099",""
