"Country","Year","rg","Top 1% share wealth","",""
"Brazil","1997","62.008844976505","0.3637","",""
"Brazil","1998","77.316837991647","0.3635","",""
"Brazil","1999","66.560917091091","0.3636","",""
"Brazil","2000","44.104728199863","0.3637","",""
"Brazil","2001","44.237818713402","0.3637","",""
"Brazil","2002","45.240437445411","0.3693","",""
"Brazil","2003","45.347398839583","0.3661","",""
"Brazil","2004","37.979152716578","0.3602","",""
"Brazil","2005","41.435168854095","0.3729","",""
"Brazil","2006","37.240326491228","0.3728","",""
"Brazil","2007","28.922515448957","0.3639","",""
"Brazil","2008","30.266757790904","0.3664","",""
"Brazil","2009","34.892009636381","0.3644","",""
"Brazil","2010","21.615805523438","0.3684","",""
"Brazil","2011","28.833459499931","0.3729","",""
"Brazil","2012","24.682090541499","0.3678","",""
"Brazil","2013","15.49884441879","0.3629","",""
"Brazil","2014","21.903672429161","0.3643","",""
"Brazil","2015","37.332343969699","0.3712","",""
"Brazil","2016","43.998361426247","0.3657","",""
"Brazil","2017","40.413807888911","0.363","",""
"Brazil","2018","31.302334248774","0.3612","",""
"Brazil","2019","30.703072757892","0.3571","",""
"Brazil","2020","24.497179672425","0.37","",""
"Brazil","2021","10.210884987091","0.3787","",""
"Brazil","2022","25.396092817768","0.3706","",""
"Brazil","2023","33.354470621978","0.3669","",""
"Chile","1997","4.5419486824042","0.3795","",""
"Chile","1998","15.040628322906","0.3795","",""
"Chile","1999","10.511969775538","0.3794","",""
"Chile","2000","4.834873246507","0.3794","",""
"Chile","2001","4.1015642434561","0.3777","",""
"Chile","2002","1.0746122471599","0.3758","",""
"Chile","2003","-2.8989717851267","0.3731","",""
"Chile","2004","-8.4731953319735","0.3771","",""
"Chile","2005","-6.2130274830475","0.3802","",""
"Chile","2006","-9.8722010431971","0.3826","",""
"Chile","2007","-1.7909755533327","0.3823","",""
"Chile","2008","9.1104702027249","0.3822","",""
"Chile","2009","4.6459721128227","0.3818","",""
"Chile","2010","-9.6687958014538","0.3849","",""
"Chile","2011","-0.61254223427616","0.3976","",""
"Chile","2012","3.023378338888","0.3905","",""
"Chile","2013","3.54632643688","0.4021","",""
"Chile","2014","0.32102530964786","0.3891","",""
"Chile","2015","-1.6658994981834","0.388","",""
"Chile","2016","-0.81708675221944","0.3798","",""
"Chile","2017","-1.6626553050802","0.383","",""
"Chile","2018","-1.4526878384598","0.3797","",""
"Chile","2019","-0.19604635327805","0.3753","",""
"Chile","2020","5.8750885218687","0.3676","",""
"Chile","2021","-12.526477551092","0.3712","",""
"Chile","2022","-4.843866711056","0.3657","",""
"Chile","2023","3.1683174859203","0.3642","",""
"Colombia","1997","11.038880897433","0.3821","",""
"Colombia","1998","22.77814846135","0.3821","",""
"Colombia","1999","19.119570900087","0.382","",""
"Colombia","2000","-14.037955917236","0.3819","",""
"Colombia","2001","11.632480838669","0.382","",""
"Colombia","2002","7.2752049008886","0.3819","",""
"Colombia","2003","3.9237979823311","0.3758","",""
"Colombia","2004","1.9705096654079","0.3803","",""
"Colombia","2005","4.962613826487","0.3783","",""
"Colombia","2006","-0.0027040308731721","0.3786","",""
"Colombia","2007","2.9764443793598","0.3788","",""
"Colombia","2008","5.5210169746595","0.3791","",""
"Colombia","2009","7.494547350321","0.3761","",""
"Colombia","2010","0.872224026773","0.3751","",""
"Colombia","2011","-2.3570351548125","0.3762","",""
"Colombia","2012","4.7553509490245","0.3659","",""
"Colombia","2013","3.807974409393","0.3716","",""
"Colombia","2014","3.9429493542785","0.3545","",""
"Colombia","2015","5.7854737344254","0.3515","",""
"Colombia","2016","6.9320950565827","0.354","",""
